Overall_Rank,Employee_ID,Role,Score,Raw_Score,Performance_Tier,Lifetime_Tier,Achievement,Volume,Peer_Performance,Trend,Goal_Status,Change,Monthly_Points,Yearly_Points,Lifetime_Points,Current_Streak,Role_Rank,Season,Performance_Month
1,EMP-1001,Sales Account Manager,100%,20/20,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,📊 GOOD VOLUME,+3.2% vs peers,🆕 NEW PERFORMER,🎯 EXCEEDED TARGET,New,125,125,125,10,1,🎄 HOLIDAY SEASON,2025-01-01
1,EMP-4782,Account Developer,100%,12/12,🥇 ELITE (95%+),🥈 SILVER,💯 PERFECT SCORE,,+3.3% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,100,1200,1200,1,3,🎄 HOLIDAY SEASON,2025-11-01
1,EMP-7402,Value Account Manager,100%,26/26,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,📊 GOOD VOLUME,+12.4% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,375,375,8,1,📊 QUARTER END,2025-03-01
1,EMP-9770,Account Developer,100%,20/20,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,📊 GOOD VOLUME,+2.6% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,415,415,6,1,📈 REGULAR PERIOD,2025-04-01
1,EMP-8649,Account Developer,100%,16/16,🥇 ELITE (95%+),🥈 SILVER,💯 PERFECT SCORE,,+3.4% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,1000,1000,4,1,📈 REGULAR PERIOD,2025-08-01
1,EMP-5948,Account Developer,100%,28/28,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,📊 GOOD VOLUME,+4.8% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,250,250,8,1,📈 REGULAR PERIOD,2025-02-01
1,EMP-4782,Account Developer,100%,18/18,🥇 ELITE (95%+),🥈 SILVER,💯 PERFECT SCORE,,+3.9% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,875,875,4,1,📈 REGULAR PERIOD,2025-07-01
1,EMP-1078,Account Developer,100%,16/16,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,,+2.5% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,500,500,7,1,📈 REGULAR PERIOD,2025-05-01
1,EMP-3813,Account Developer,100%,16/16,🥇 ELITE (95%+),🥈 SILVER,💯 PERFECT SCORE,,+3.3% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,820,820,3,2,📊 QUARTER END,2025-09-01
1,EMP-8368,Account Developer,100%,34/34,🥇 ELITE (95%+),🥈 SILVER,💯 PERFECT SCORE,🏋️ HIGH VOLUME,+1.3% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,115,590,590,1,1,📈 REGULAR PERIOD,2025-10-01
1,EMP-1004,Bulk Account Merchandiser 5Day NU,100%,14/14,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,,+4.4% vs peers,🆕 NEW PERFORMER,🎯 EXCEEDED TARGET,New,125,125,125,6,2,📊 QUARTER END,2025-06-01
2,EMP-8368,Account Developer,100%,16/16,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,,+3.3% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,100,475,475,2,1,📊 QUARTER END,2025-09-01
2,EMP-7174,Account Developer,100%,12/12,🥇 ELITE (95%+),🥈 SILVER,💯 PERFECT SCORE,,+3.3% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,100,1190,1190,1,2,🎄 HOLIDAY SEASON,2025-11-01
2,EMP-3136,Sales Account Manager,100%,16/16,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,,+3.2% vs peers,🆕 NEW PERFORMER,🎯 EXCEEDED TARGET,New,125,125,125,8,2,🎄 HOLIDAY SEASON,2025-01-01
2,EMP-8649,Account Developer,100%,14/14,🥇 ELITE (95%+),🥈 SILVER,💯 PERFECT SCORE,,+2.9% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,750,750,6,3,📊 QUARTER END,2025-06-01
2,EMP-5694,Sales Account Manager,100%,16/16,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,,+6% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,490,490,6,1,📈 REGULAR PERIOD,2025-05-01
2,EMP-1001,Sales Account Manager,100%,16/16,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,,+5.7% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,250,250,9,1,📈 REGULAR PERIOD,2025-02-01
2,EMP-8649,Account Developer,100%,18/18,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,,+2.6% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,500,500,8,2,📈 REGULAR PERIOD,2025-04-01
2,EMP-1001,Sales Account Manager,100%,24/24,🥇 ELITE (95%+),🥉 BRONZE,💯 PERFECT SCORE,📊 GOOD VOLUME,+5.4% vs peers,➡️ STEADY,🎯 EXCEEDED TARGET,0%,125,375,375,8,1,📊 QUARTER END,2025-03-01
